AxialPosition,PressureCoefficient
0.0,60.75238408354926
0.0986,58.27380248944246
0.1972,56.8300407916322
0.29579999999999995,55.53598161925038
0.3944,54.31123314180877
0.493,53.113936804191326
0.5915999999999999,51.922055251081474
0.6902,50.74387696154008
0.7888,49.56635977932456
0.8874,48.38164585220511
0.986,47.204102388452156
1.0846,46.0265322051564
1.1831999999999998,44.84179296775255
1.2818,43.66423236473929
1.3804,42.47951897069288
1.4789999999999999,41.302007373873494
1.5776,40.12451881382731
1.6762000000000001,38.93985170323867
1.7748,37.762367648567306
1.8734,36.58488720143214
1.972,35.40023166023457
2.0705999999999998,34.22275380874635
2.1692,33.045271419454366
2.2678,31.860612914508238
2.3663999999999996,30.683118618144363
2.465,29.505608411922367
2.5636,28.320916493630648
2.6622,27.143404316871965
2.7608,25.958720717900178
2.8593999999999995,24.781229935975716
2.9579999999999997,23.603755543007537
3.0566,22.41910647743498
3.1552,21.2416449716402
3.2538,20.064181177844148
3.3524000000000003,18.879527514482106
3.4509999999999996,17.702043026449246
3.5496,16.524532467457902
3.6481999999999997,15.339823101075979
3.7468,14.16229770415157
3.8453999999999997,12.977611011638146
3.944,11.800117177611355
4.042599999999999,10.622643423115733
4.1411999999999995,9.438000854384882
4.2398,8.260541139991801
4.3384,7.083075058688792
4.437,5.8984201365266244
4.5356,4.72092524633581
4.6342,3.5434118076991012
4.732799999999999,2.3589747734081286
4.8313999999999995,1.181291026795293
4.93,0.0036018526800809525

